,date,tweet,bot
10,2022-05-03 18:00:11+00:00,"🚨🚨🚨🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 1,083.02 $ETH traded at vwap: 2,796.945 in the last 10 seconds which is 18.86 stdevs from mean. Buys: 232.81 Sells: 850.21",0
11,2022-05-03 17:58:11+00:00,"Opened a short position at 38200 btcusdt with 
sl 38575
Target: 37500
Lets see 
#btcusdt #ethusdt",0
12,2022-05-03 16:06:00+00:00,"🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 2,936.275 $ETH traded at vwap: 2,814.273 in the last 10 seconds which is 14.27 stdevs from mean. Buys: 775.852 Sells: 2,160.423",0
13,2022-05-03 14:38:12+00:00,"🚨🚨[Volume alert 📉 ]  #Delta $ETHUSDT: 15,639.0 $ETH traded at vwap: 2,828.502 in the last 10 seconds which is 14.58 stdevs from mean. Buys: 0.0 Sells: 15,639.0",0
14,2022-05-03 14:34:27+00:00,"Pairs:ETHUSDT 
 SELL:2833.94000
 Time :5/3/2022 8:10:25 PM
 Average Decision:39.85669 OneHour 
 Estimated Direction: DOWN
 #BTC #MDXUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 5:34:03 PM",0
15,2022-05-03 14:00:43+00:00,"🚨[Volume alert ]  #Delta $ETHUSDT: 11,425.0 $ETH traded at vwap: 2,836.680 in the last 10 seconds which is 13.67 stdevs from mean. Buys: 11,402.0 Sells: 23.0",0
16,2022-05-03 13:57:24+00:00,"Pairs:ETHUSDT 
 BUY:2832.98000 
 Time :5/3/2022 7:33:13 PM
 Average Decision: 51.15329OneHour 
 Estimated Direction: UP
 #BTC #XLMDOWNUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 4:57:00 PM",0
17,2022-05-03 13:49:10+00:00,"🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 639.97 $ETH traded at vwap: 2,817.954 in the last 10 seconds which is 15.69 stdevs from mean. Buys: 47.57 Sells: 592.40",0
18,2022-05-03 13:32:33+00:00,"🚨🚨🚨🚨🚨🚨[Volume alert 🚀]  #Delta $ETHUSDT: 11,402.0 $ETH traded at vwap: 2,826.171 in the last 10 seconds which is 18.08 stdevs from mean. Buys: 11,402.0 Sells: 0.0",0
19,2022-05-03 13:32:01+00:00,"🚨🚨🚨🚨🚨🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 3,975.733 $ETH traded at vwap: 2,822.659 in the last 10 seconds which is 19.43 stdevs from mean. Buys: 914.903 Sells: 3,060.830",0
20,2022-05-03 13:18:20+00:00,"Pairs:ETHUSDT 
 SELL:2835.56000
 Time :5/3/2022 6:54:10 PM
 Average Decision:48.02990 OneHour 
 Estimated Direction: DOWN
 #BTC #ZRXBUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 4:17:57 PM",0
21,2022-05-03 12:29:42+00:00,"Pairs:ETHUSDT 
 SELL:2838.76000
 Time :5/3/2022 3:28:39 PM
 Average Decision:44.96344 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #MFTUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 3:29:20 PM",0
22,2022-05-03 12:06:11+00:00,"Pairs:ETHUSDT 
 BUY:2845.15000 
 Time :5/3/2022 5:39:13 PM
 Average Decision: 50.38524OneHour 
 Estimated Direction: UP
 #BTC #EOSTUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 3:05:49 PM",0
23,2022-05-03 11:32:12+00:00,"Pairs:ETHUSDT 
 BUY:2841.32000 
 Time :5/3/2022 2:31:04 PM
 Average Decision: 53.16734FifteenMinutes 
 Estimated Direction: UP
 #BTC #MFTBNB #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 2:31:47 PM",0
24,2022-05-03 11:31:30+00:00,"[Volume alert ]  #Bybit $ETHUSDT: 480.80 $ETH traded at vwap: 2,842.537 in the last 10 seconds which is 12.79 stdevs from mean. Buys: 335.72 Sells: 145.08",0
25,2022-05-03 11:14:17+00:00,"⛔SELL #ETH | Increasing 0.2%
Average price for the last hour: ETHUSDT - 2838.7457",0
26,2022-05-03 10:51:10+00:00,"[Volume alert ]  #Binance Futures $ETHUSDT: 2,367.238 $ETH traded at vwap: 2,825.069 in the last 10 seconds which is 12.64 stdevs from mean. Buys: 1,860.720 Sells: 506.518",0
27,2022-05-03 10:44:01+00:00,"📉#ETH | Decreasing 0.32%
Average price for the last hour: ETHUSDT - 2841.0386",0
28,2022-05-03 10:24:51+00:00,"🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 426.63 $ETH traded at vwap: 2,823.261 in the last 10 seconds which is 15.00 stdevs from mean. Buys: 79.49 Sells: 347.14",0
29,2022-05-03 10:13:47+00:00,"📉#ETH | Decreasing 0.32%
Average price for the last hour: ETHUSDT - 2841.1543",0
30,2022-05-03 10:04:01+00:00,"Pairs:ETHUSDT 
 SELL:2834.68000
 Time :5/3/2022 3:40:15 PM
 Average Decision:46.79836 OneHour 
 Estimated Direction: DOWN
 #BTC #LAZIOEUR #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 1:03:39 PM",0
31,2022-05-03 09:55:20+00:00,"🚨[Volume alert ]  #Binance Futures $ETHUSDT: 1,833.859 $ETH traded at vwap: 2,834.763 in the last 10 seconds which is 13.04 stdevs from mean. Buys: 364.291 Sells: 1,469.568",0
32,2022-05-03 09:43:30+00:00,"📉#ETH | Decreasing 0.46%
Average price for the last hour: ETHUSDT - 2844.4557",0
33,2022-05-03 09:42:40+00:00,"🚨[Volume alert ]  #Binance Futures $ETHUSDT: 1,595.918 $ETH traded at vwap: 2,835.781 in the last 10 seconds which is 13.88 stdevs from mean. Buys: 236.589 Sells: 1,359.329",0
34,2022-05-03 09:13:15+00:00,"📉#ETH | Decreasing 0.49%
Average price for the last hour: ETHUSDT - 2845.4743",0
35,2022-05-03 09:01:43+00:00,"[Volume alert ]  #Bybit $ETHUSDT: 213.08 $ETH traded at vwap: 2,842.490 in the last 10 seconds which is 12.94 stdevs from mean. Buys: 0.47 Sells: 212.61",0
36,2022-05-03 08:42:55+00:00,"📈#ETH | Increasing  0.5%
Average price for the last hour: ETHUSDT - 2845.7757",0
37,2022-05-03 08:13:30+00:00,"Pairs:ETHUSDT 
 BUY:2846.01000 
 Time :5/3/2022 11:12:21 AM
 Average Decision: 53.74234FifteenMinutes 
 Estimated Direction: UP
 #BTC #ETHUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 11:12:59 AM",0
38,2022-05-03 08:12:36+00:00,"📈#ETH | Increasing  0.48%
Average price for the last hour: ETHUSDT - 2845.0714",0
39,2022-05-03 07:59:19+00:00,"Pairs:ETHUSDT 
 BUY:2842.98000 
 Time :5/3/2022 1:35:15 PM
 Average Decision: 53.74261OneHour 
 Estimated Direction: UP
 #BTC #SCBUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 10:58:58 AM",0
40,2022-05-03 07:42:21+00:00,"📈#ETH | Increasing  0.47%
Average price for the last hour: ETHUSDT - 2844.7071",0
41,2022-05-03 07:40:59+00:00,"WhaleTrades: 📈💳$6,855,416 $ETH BOUGHT @$2,838.0 [03/05/22 05:07:37]
🏣Binance | $ETHUSDT

🗣️I came here for the money but stayed for the money. - CryptoPortugues",0
42,2022-05-03 07:20:17+00:00,"Pairs:ETHUSDT 
 SELL:2839.99000
 Time :5/3/2022 12:56:24 PM
 Average Decision:48.43380 OneHour 
 Estimated Direction: DOWN
 #BTC #GRSBTC #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 10:19:53 AM",0
43,2022-05-03 07:12:06+00:00,"📉#ETH | Decreasing 0.44%
Average price for the last hour: ETHUSDT - 2843.5586",0
44,2022-05-03 06:49:16+00:00,"Pairs:ETHUSDT 
 SELL:2840.66000
 Time :5/3/2022 9:48:14 AM
 Average Decision:41.48794 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #OGNBUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 9:48:50 AM",0
45,2022-05-03 06:41:52+00:00,"📈#ETH | Increasing  0.44%
Average price for the last hour: ETHUSDT - 2844.75",0
46,2022-05-03 06:18:42+00:00,"Pairs:ETHUSDT 
 BUY:2842.00000 
 Time :5/3/2022 9:18:00 AM
 Average Decision: 50.57730FifteenMinutes 
 Estimated Direction: UP
 #BTC #LTCRUB #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 9:18:19 AM",0
47,2022-05-03 06:17:19+00:00,"🚨🚨🚨[Volume alert ]  #Delta $ETHUSDT: 15,378.0 $ETH traded at vwap: 2,835.592 in the last 10 seconds which is 15.70 stdevs from mean. Buys: 206.0 Sells: 15,172.0",0
48,2022-05-03 06:11:34+00:00,"💲#ETH| 0.41% increasing | BUY
Average price for the last hour: ETHUSDT - 2843.7671",0
49,2022-05-03 06:03:40+00:00,"Pairs:ETHUSDT 
 BUY:2843.25000 
 Time :5/3/2022 11:39:32 AM
 Average Decision: 52.46295OneHour 
 Estimated Direction: UP
 #BTC #GALAEUR #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 9:03:15 AM",0
50,2022-05-03 05:24:36+00:00,"Pairs:ETHUSDT 
 SELL:2834.71000
 Time :5/3/2022 11:00:37 AM
 Average Decision:48.65207 OneHour 
 Estimated Direction: DOWN
 #BTC #DASHBUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 8:24:12 AM",0
51,2022-05-03 05:21:06+00:00,"Pairs:ETHUSDT 
 SELL:2836.71000
 Time :5/3/2022 8:20:02 AM
 Average Decision:44.64466 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #FUELETH #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 8:20:41 AM",0
52,2022-05-03 05:20:36+00:00,"Pairs:ETHUSDT 
 SELL:2836.71000
 Time :5/3/2022 8:20:02 AM
 Average Decision:44.64466 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #NKNUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 8:20:11 AM",0
53,2022-05-03 05:07:41+00:00,"[Volume alert ]  #Bybit $ETHUSDT: 890.69 $ETH traded at vwap: 2,832.612 in the last 10 seconds which is 12.46 stdevs from mean. Buys: 121.80 Sells: 768.89",0
54,2022-05-03 05:07:37+00:00,"📈💳$6,855,416 $ETH BOUGHT @$2,838.0 [03/05/22 05:07:37]
🏣Binance | $ETHUSDT

🗣️I came here for the money but stayed for the money. - CryptoPortugues",0
55,2022-05-03 05:06:01+00:00,"🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 1,370.90 $ETH traded at vwap: 2,838.863 in the last 10 seconds which is 22.24 stdevs from mean. Buys: 223.85 Sells: 1,147.05",0
56,2022-05-03 05:06:00+00:00,"🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 13,640.755 $ETH traded at vwap: 2,838.630 in the last 10 seconds which is 25.10 stdevs from mean. Buys: 5,553.629 Sells: 8,087.126",0
57,2022-05-03 04:50:32+00:00,"Pairs:ETHUSDT 
 BUY:2850.49000 
 Time :5/3/2022 7:49:29 AM
 Average Decision: 61.81036FifteenMinutes 
 Estimated Direction: UP
 #BTC #MANABRL #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 7:50:09 AM",0
58,2022-05-03 03:54:26+00:00,"🚨🚨🚨🚨🚨🚨[Volume alert 📉 ]  #Delta $ETHUSDT: 15,264.0 $ETH traded at vwap: 2,843.082 in the last 10 seconds which is 18.56 stdevs from mean. Buys: 0.0 Sells: 15,264.0",0
59,2022-05-03 03:52:00+00:00,"Pairs:ETHUSDT 
 SELL:2846.78000
 Time :5/3/2022 6:51:05 AM
 Average Decision:44.83674 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #KDAUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 6:51:35 AM",0
60,2022-05-03 03:23:25+00:00,"Pairs:ETHUSDT 
 BUY:2850.43000 
 Time :5/3/2022 6:22:18 AM
 Average Decision: 51.23650FifteenMinutes 
 Estimated Direction: UP
 #BTC #TROYBNB #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 6:23:02 AM",0
61,2022-05-03 03:08:45+00:00,"🚨🚨🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 702.85 $ETH traded at vwap: 2,844.961 in the last 10 seconds which is 17.38 stdevs from mean. Buys: 623.71 Sells: 79.14",0
62,2022-05-03 03:08:38+00:00,"🚨🚨🚨🚨🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 3,834.071 $ETH traded at vwap: 2,846.344 in the last 10 seconds which is 18.87 stdevs from mean. Buys: 3,263.189 Sells: 570.882",0
63,2022-05-03 01:33:10+00:00,"Pairs:ETHUSDT 
 BUY:2833.83000 
 Time :5/3/2022 7:09:14 AM
 Average Decision: 54.31078OneHour 
 Estimated Direction: UP
 #BTC #SYSBUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 4:32:49 AM",0
64,2022-05-03 00:58:06+00:00,"Pairs:ETHUSDT 
 SELL:2837.59000
 Time :5/3/2022 3:57:06 AM
 Average Decision:36.82027 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #GMTUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 3:57:43 AM",0
65,2022-05-03 00:57:35+00:00,"Pairs:ETHUSDT 
 SELL:2837.59000
 Time :5/3/2022 3:57:06 AM
 Average Decision:36.82027 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #FORBTC #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 3:57:15 AM",0
66,2022-05-03 00:54:05+00:00,"Pairs:ETHUSDT 
 SELL:2840.57000
 Time :5/3/2022 6:30:04 AM
 Average Decision:47.96686 OneHour 
 Estimated Direction: DOWN
 #BTC #STORJUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 3:53:43 AM",0
67,2022-05-02 22:14:50+00:00,"🚨🚨🚨🚨🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 1,233.82 $ETH traded at vwap: 2,876.203 in the last 10 seconds which is 19.44 stdevs from mean. Buys: 1,124.30 Sells: 109.52",0
68,2022-05-02 22:14:50+00:00,"🚨🚨🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 4,623.094 $ETH traded at vwap: 2,873.927 in the last 10 seconds which is 16.66 stdevs from mean. Buys: 3,802.327 Sells: 820.767",0
69,2022-05-02 22:10:50+00:00,"It's time to CLOSE SHORT on ETHUSDT

Trade Performance:-2.4% 🌧

 #Crypto #cryptocurrency #bitcoin",0
70,2022-05-02 22:01:38+00:00,"📈Binance Liquidated Short on ETHUSDT @ $2,888: Buy $115,537",0
71,2022-05-02 21:31:54+00:00,"🚨🚨🚨🚨🚨[Volume alert ]  #Delta $ETHUSDT: 20,520.0 $ETH traded at vwap: 2,860.717 in the last 10 seconds which is 17.05 stdevs from mean. Buys: 17,012.0 Sells: 3,508.0",0
72,2022-05-02 21:31:17+00:00,"Pairs:ETHUSDT 
 BUY:2853.00000 
 Time :5/3/2022 3:07:24 AM
 Average Decision: 62.50922OneHour 
 Estimated Direction: UP
 #BTC #FRONTBTC #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 12:30:55 AM",0
73,2022-05-02 21:31:10+00:00,"🚨🚨🚨🚨🚨[Volume alert ]  #Delta $ETHUSDT: 16,608.0 $ETH traded at vwap: 2,854.787 in the last 10 seconds which is 17.60 stdevs from mean. Buys: 1,155.0 Sells: 15,453.0",0
74,2022-05-02 20:52:46+00:00,"Pairs:ETHUSDT 
 SELL:2829.09000
 Time :5/3/2022 2:28:39 AM
 Average Decision:44.25679 OneHour 
 Estimated Direction: DOWN
 #BTC #ETHDOWNUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 11:52:19 PM",0
75,2022-05-02 19:49:40+00:00,"🚨[Volume alert ]  #Binance Futures $ETHUSDT: 5,899.729 $ETH traded at vwap: 2,839.737 in the last 10 seconds which is 13.13 stdevs from mean. Buys: 3,796.467 Sells: 2,103.262",0
76,2022-05-02 19:34:30+00:00,"🚨[Volume alert ]  #Binance Futures $ETHUSDT: 5,116.974 $ETH traded at vwap: 2,840.059 in the last 10 seconds which is 13.53 stdevs from mean. Buys: 4,175.512 Sells: 941.462",0
77,2022-05-02 19:28:32+00:00,"Pairs:ETHUSDT 
 BUY:2834.37000 
 Time :5/2/2022 10:27:53 PM
 Average Decision: 64.22899FifteenMinutes 
 Estimated Direction: UP
 #BTC #GNOBTC #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 10:28:08 PM",0
78,2022-05-02 19:16:03+00:00,"⬇ Bearish Double Top for BNBUSDT ETHUSDT  on 15 min timeframe 

  $bnb $eth",0
79,2022-05-02 19:13:20+00:00,"[Volume alert ]  #Bybit $ETHUSDT: 868.87 $ETH traded at vwap: 2,817.944 in the last 10 seconds which is 12.61 stdevs from mean. Buys: 749.52 Sells: 119.35",0
80,2022-05-02 18:13:28+00:00,"🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 4,199.081 $ETH traded at vwap: 2,779.285 in the last 10 seconds which is 14.02 stdevs from mean. Buys: 666.341 Sells: 3,532.740",0
81,2022-05-02 17:08:14+00:00,"Pairs:ETHUSDT 
 SELL:2803.79000
 Time :5/2/2022 8:07:27 PM
 Average Decision:41.53932 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #OMGETH #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 8:07:51 PM",0
82,2022-05-02 17:04:11+00:00,"🚨[Volume alert ]  #Binance Futures $ETHUSDT: 3,285.987 $ETH traded at vwap: 2,793.341 in the last 10 seconds which is 13.43 stdevs from mean. Buys: 1,218.863 Sells: 2,067.124",0
83,2022-05-02 17:02:03+00:00,"⛔SELL #ETH | Increasing -0.29%
Average price for the last hour: ETHUSDT - 2812.5886",0
84,2022-05-02 17:01:06+00:00,"⬇ Bearish Double Top for ETHUSDT BNBUSDT  on 15 min timeframe 

  $eth $bnb",0
85,2022-05-02 15:18:06+00:00,"Pairs:ETHUSDT 
 SELL:2823.49000
 Time :5/2/2022 8:54:06 PM
 Average Decision:43.86421 OneHour 
 Estimated Direction: DOWN
 #BTC #GTOPAX #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 6:17:44 PM",0
86,2022-05-02 13:59:57+00:00,"Pairs:ETHUSDT 
 BUY:2833.08000 
 Time :5/2/2022 7:35:33 PM
 Average Decision: 54.75359OneHour 
 Estimated Direction: UP
 #BTC #BNBBRL #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 4:59:35 PM",0
87,2022-05-02 13:59:27+00:00,"Pairs:ETHUSDT 
 BUY:2833.08000 
 Time :5/2/2022 7:35:33 PM
 Average Decision: 54.75359OneHour 
 Estimated Direction: UP
 #BTC #TLMUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 4:59:06 PM",0
88,2022-05-02 13:43:35+00:00,"[Volume alert ]  #Binance Futures $ETHUSDT: 7,465.995 $ETH traded at vwap: 2,840.191 in the last 10 seconds which is 12.23 stdevs from mean. Buys: 5,418.847 Sells: 2,047.148",0
89,2022-05-02 13:43:30+00:00,"🚨🚨🚨🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 2,686.05 $ETH traded at vwap: 2,839.549 in the last 10 seconds which is 18.65 stdevs from mean. Buys: 1,995.86 Sells: 690.19",0
90,2022-05-02 13:36:12+00:00,"🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 1,350.72 $ETH traded at vwap: 2,779.850 in the last 10 seconds which is 15.70 stdevs from mean. Buys: 359.63 Sells: 991.09",0
91,2022-05-02 13:36:11+00:00,"🚨🚨🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 7,428.010 $ETH traded at vwap: 2,781.924 in the last 10 seconds which is 17.00 stdevs from mean. Buys: 1,899.104 Sells: 5,528.906",0
92,2022-05-02 11:37:59+00:00,"📉Binance Liquidated Long on ETHUSDT @ $2,770: Sell $478,293",0
93,2022-05-02 10:03:01+00:00,"Pairs:ETHUSDT 
 SELL:2808.13000
 Time :5/2/2022 3:39:09 PM
 Average Decision:43.88865 OneHour 
 Estimated Direction: DOWN
 #BTC #TRIBEBNB #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 1:02:38 PM",0
94,2022-05-02 09:58:31+00:00,"🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 993.81 $ETH traded at vwap: 2,809.724 in the last 10 seconds which is 15.59 stdevs from mean. Buys: 134.46 Sells: 859.35",0
95,2022-05-02 09:58:30+00:00,"🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 4,965.349 $ETH traded at vwap: 2,809.969 in the last 10 seconds which is 14.55 stdevs from mean. Buys: 1,167.371 Sells: 3,797.978",0
96,2022-05-02 09:48:51+00:00,"🚨🚨🚨🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 933.87 $ETH traded at vwap: 2,817.074 in the last 10 seconds which is 18.87 stdevs from mean. Buys: 65.74 Sells: 868.13",0
97,2022-05-02 09:20:27+00:00,"Pairs:ETHUSDT 
 BUY:2838.21000 
 Time :5/2/2022 2:56:37 PM
 Average Decision: 54.62542OneHour 
 Estimated Direction: UP
 #BTC #BRDBNB #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 12:20:03 PM",0
98,2022-05-02 08:41:21+00:00,"Pairs:ETHUSDT 
 SELL:2834.47000
 Time :5/2/2022 2:13:38 PM
 Average Decision:49.42168 OneHour 
 Estimated Direction: DOWN
 #BTC #YOYOBTC #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 11:41:00 AM",0
99,2022-05-02 08:37:26+00:00,"📉Binance Liquidated Long on ETHUSDT @ $2,807: Sell $323,085",0
100,2022-05-02 08:31:49+00:00,"Pairs:ETHUSDT 
 SELL:2837.01000
 Time :5/2/2022 11:30:55 AM
 Average Decision:38.92547 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #ZRXBUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 11:31:28 AM",0
101,2022-05-02 08:27:10+00:00,"🚨🚨🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 3,306.852 $ETH traded at vwap: 2,840.112 in the last 10 seconds which is 16.22 stdevs from mean. Buys: 940.834 Sells: 2,366.018",0
102,2022-05-02 07:59:11+00:00,"🚨🚨🚨🚨[Volume alert 🚀]  #Delta $ETHUSDT: 25,943.0 $ETH traded at vwap: 2,844.120 in the last 10 seconds which is 16.86 stdevs from mean. Buys: 25,943.0 Sells: 0.0",0
103,2022-05-02 07:14:23+00:00,"Trade ETH Short
entery 2859 size 0.1
 #100to1K #Challenge #Bitcoin #cryptocurrency #Crypto #ETHUSDT #ETH #Ethereum",0
104,2022-05-02 04:54:11+00:00,"🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 5,005.843 $ETH traded at vwap: 2,861.306 in the last 10 seconds which is 14.21 stdevs from mean. Buys: 3,701.033 Sells: 1,304.810",0
105,2022-05-02 04:52:05+00:00,"📈Binance Liquidated Short on ETHUSDT @ $2,876: Buy $144,488",0
106,2022-05-02 04:51:31+00:00,"🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 1,576.29 $ETH traded at vwap: 2,851.128 in the last 10 seconds which is 24.36 stdevs from mean. Buys: 1,420.70 Sells: 155.59",0
107,2022-05-02 04:51:31+00:00,"🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 6,605.166 $ETH traded at vwap: 2,851.224 in the last 10 seconds which is 24.72 stdevs from mean. Buys: 5,794.304 Sells: 810.862",0
108,2022-05-02 04:00:40+00:00,"🚨🚨🚨🚨[Volume alert 🚀]  #Delta $ETHUSDT: 17,330.0 $ETH traded at vwap: 2,839.936 in the last 10 seconds which is 16.84 stdevs from mean. Buys: 17,330.0 Sells: 0.0",0
